Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2022-0176,Citizen complaint,05/02/2022,Detective,James D,Bowden,Use of Force,Exonerated,,,,04/26/2022
IAD2022-0222,Citizen complaint,05/23/2022,"Police Officer
Police Officer","Laquane
Laquane","Bradham
Bradham","Neg.Duty/Unreasonable Judge
Respectful Treatment","Exonerated
Not Sustained",,"0
0",,05/20/2022
IAD2022-0229,Citizen complaint,05/27/2022,Police Officer,Oscar,Henriquez,Neg.Duty/Unreasonable Judge,Not Sustained,,,,05/27/2022
IAD2022-0230,Internal investigation,06/01/2022,"Depsup
Depsup
Depsup","James R
James R
James R","Tarantino
Tarantino
Tarantino","Respectful Treatment
Respectful Treatment
Harassment Policy","Not Sustained
Sustained
Not Sustained","Suspension
Suspension
Suspension","1
1
1","07/12/2023
07/12/2023
07/12/2023",04/07/2022
IAD2022-0234,Citizen complaint,06/06/2022,"Lieutenantenant Detective
Lieutenantenant Detective
Lieutenantenant Detective","Henry Joseph
Henry Joseph
Henry Joseph","Staines
Staines
Staines","Self Identification
Respectful Treatment
Neg.Duty/Unreasonable Judge","Sustained
Not Sustained
Sustained","Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0","10/31/2023
10/31/2023
10/31/2023",06/03/2022
IAD2022-0235,Citizen complaint,06/06/2022,"Police Officer
Police Officer","Patrick M
Rory","Curtin
Foley","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,05/27/2022
IAD2022-0239,Citizen complaint,06/08/2022,"Police Officer
Police Officer","Adrian
Kevin Gerard","Pinto
Shelley","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,06/07/2022
IAD2022-0243,Internal investigation,06/11/2022,"Sergeant
Sergeant","Walter
Walter","Suprey
Suprey","Conduct Unbecoming
Conformance to Laws","Not Sustained
Not Sustained",,"0
0",,06/11/2022
IAD2022-0249,Internal investigation,06/14/2022,"Police Officer
Police Officer
Police Officer
Police Officer","Dana C
Dana C
Dana C
Dana C","Lamb
Lamb
Lamb
Lamb","Conformance to Laws
Conformance to Laws
Conduct Unbecoming
Conduct Unbecoming","Sustained
Sustained
Sustained
Sustained","Suspension held in abeyance
Suspension/Settlement Agreement (6 months)
Suspension held in abeyance
Suspension/Settlement Agreement (6 months)","30
0
30
0","03/17/2023
03/17/2023
03/17/2023
03/17/2023",05/01/2020
IAD2022-0250,Internal investigation,06/15/2022,Sergeant,Philip,Bissonnette,Neg.Duty/Unreasonable Judge,Exonerated,,,,08/22/2018
IAD2022-0253,Internal investigation,06/16/2022,Police Officer,John J,Manning,Neg.Duty/Unreasonable Judge,Sustained,Suspension,1,06/20/2023,05/11/2022
IAD2022-0264,Citizen complaint,06/25/2022,"Police Officer
Police Officer","Oscar A
Oscar A","Guerrero
Guerrero","Respectful Treatment
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,06/24/2022
IAD2022-0270,Citizen complaint,06/21/2022,"Police Officer
Police Officer","Thomas
Thomas","Gallagher
Gallagher","Respectful Treatment
Body Worn Policy - Activation & Incidents of Use","Not Sustained
Not Sustained",,"0
0",,06/20/2022
IAD2022-0275,Internal investigation,07/08/2022,Sergeant Detective,Christopher J,Cunniff,Substance Abuse Policy,Sustained,Suspension/Settlement Agreement,45,09/16/2022,06/23/2022
IAD2022-0290,Internal investigation,07/05/2022,"Police Officer
Police Officer
Sergeant","Margaret A
Margaret A
Wilson","Ricard
Ricard
Quiles","Permissible Weapons & Ammunition
Body Worn Camera Policy
Investigation of Firearm Discharge","Sustained
Sustained
Sustained","Oral Reprimand
Oral Reprimand
Suspension","0
0
1","05/03/2024
05/03/2024
06/04/2025",07/08/2021
IAD2022-0293,Citizen complaint,07/20/2022,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Samora F
Samora F
Samora F
Santino S
Santino S
Santino S
Renzo A
Renzo A
Renzo A","Lopes
Lopes
Lopes
Daddieco
Daddieco
Daddieco
Monzon
Monzon
Monzon","Use of Force
Neg.Duty/Unreasonable Judge
Completion of FIOE Report
Neg.Duty/Unreasonable Judge
Completion of FIOE Report
Use of Force
Use of Force
Neg.Duty/Unreasonable Judge
Completion of FIOE Report","Exonerated
Exonerated
Sustained
Exonerated
Sustained
Unfounded
Exonerated
Exonerated
Sustained","Suspension
Suspension
Suspension
Suspension
Suspension
Suspension
Suspension
Suspension
Suspension","1
1
1
1
1
1
1
1
1","11/10/2024
11/10/2024
11/10/2024
11/10/2024
11/10/2024
11/10/2024
11/15/2024
11/15/2024
11/15/2024",07/19/2022
IAD2022-0294,Internal investigation,07/20/2022,"Police Officer
Police Officer","Steven
Steven","Smigliani
Smigliani","Neg.Duty/Unreasonable Judge
Emergency Driving- Operations of Emergency Vehicle Law","Sustained
Sustained","Suspension
Suspension","3
3","03/02/2023
03/02/2023",06/13/2022
IAD2022-0295,Citizen complaint,07/18/2022,"Police Officer
Police Officer","Raul A.
Raul A.","Sutherland
Sutherland","Use of Force
Self Identification","Unfounded
Unfounded",,"0
0",,06/24/2022
IAD2022-0302,Citizen complaint,07/25/2022,"Police Officer
Police Officer","Kevin K
Kevin K","Herbert
Herbert","Neg.Duty/Unreasonable Judge
Self Identification","Sustained
Sustained","Suspension
Suspension","3
3","09/15/2025
09/15/2025",
IAD2022-0313,Citizen complaint,08/04/2022,"Sergeant
Police Officer","Tracey A
Christopher J","Fenton
Ross","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,08/03/2022
IAD2022-0319,Internal investigation,08/10/2022,Sergeant,John P,Doris,Directives/Orders,Sustained,Oral Reprimand,,10/23/2025,07/18/2022
IAD2022-0320,Citizen complaint,08/09/2022,"Police Officer
Police Officer
Police Officer","Anna
Anna
Anna","Stepanyan
Stepanyan
Stepanyan","Neg.Duty/Unreasonable Judge
Failure to Notify Supervisor when leaving their assigned post
Radio Procedures","Not Sustained
Sustained
Not Sustained","Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0","03/13/2025
03/13/2025
03/13/2025",03/26/2022
IAD2022-0332,Internal investigation,08/19/2022,"Police Officer
Police Officer
Police Officer","Matthew P
Matthew P
Matthew P","Morrissey
Morrissey
Morrissey","CJIS Access (6 counts)
Untruthfulness (3 counts)
Residency","Sustained
Sustained
Sustained","Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending","0
0
0","06/22/2023
06/22/2023
06/22/2023",09/03/2021
IAD2022-0333,Internal investigation,08/11/2022,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Rebecca J
Rebecca J
Rebecca J
Rebecca J
Rebecca J
Rebecca J","Leo
Leo
Leo
Leo
Leo
Leo","Conduct Unbecoming
Conduct Unbecoming
Alcohol off Duty
Alcohol off Duty
Conformance to Laws
Conformance to Laws","Sustained
Sustained
Not Sustained
Not Sustained
Sustained
Sustained","Settlement Agreement (probation 3 years)
Suspension/Settlement Agreement (90 Days)
Settlement Agreement (probation 3 years)
Suspension/Settlement Agreement (90 Days)
Settlement Agreement (probation 3 years)
Suspension/Settlement Agreement (90 Days)","0
90
0
90
0
90","08/11/2023
08/11/2023
08/11/2023
08/11/2023
08/11/2023
08/11/2023",08/06/2022
IAD2022-0334,Internal investigation,08/19/2022,"Detective
Detective","Rodney O
Rodney O","Best
Best","Reporting firearm Discharges
Training and Qualifications","Sustained
Sustained","Suspension
Suspension","1
1","01/29/2025
01/29/2025",08/19/2022
IAD2022-0337,Citizen complaint,08/26/2022,"Lieutenantenant Detective
Lieutenantenant Detective","Henry Joseph
Henry Joseph","Staines
Staines","Respectful Treatment
Self Identification","Not Sustained
Not Sustained",,"0
0",,08/23/2022
IAD2022-0339,Citizen complaint,08/29/2022,"Police Officer
Police Officer","Tamara M
Tamara M","Espinola
Espinola","Neg.Duty/Unreasonable Judge
CJIS Access","Unfounded
Unfounded",,"0
0",,
IAD2022-0348,Citizen complaint,09/02/2022,"Police Officer
Police Officer","Stephen
Shayne","Shields
Finn","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,08/27/2022
IAD2022-0358,Citizen complaint,09/10/2022,"Police Officer
Police Officer","Jonathan
Jonathan","Cooper
Cooper","Neg.Duty/Unreasonable Judge
Body Worn Policy - Activation","Sustained
Sustained","Suspension
Suspension","2
2","10/11/2024
10/11/2024",09/10/2022
IAD2022-0359,Internal investigation,09/10/2022,"Detective
Detective","Rodney O
Rodney O","Best
Best","Reporting Firearm Discharges (1 count)
Reporting Firearm Discharges (2 counts)","Exonerated
Not Sustained",,"0
0",,08/30/2022
IAD2022-0363,Internal investigation,09/15/2022,"Sergeant
Sergeant","Michael
Michael","Aziz
Aziz","Authorization & Use of Less-Lethal Weapons
Authorization & Use of Less-Lethal Weapons","Sustained
Unfounded","Oral Reprimand
Oral Reprimand","0
0","10/04/2024
10/04/2024",02/12/2019
IAD2022-0364,Citizen complaint,09/15/2022,Detective,William Leo,Parlon,CJIS Access Violation,Sustained,Suspension,1,03/09/2023,08/17/2022
IAD2022-0366,Citizen complaint,09/16/2022,"Sergeant Detective
Detective
Detective","Stephen P
Stephen J
Stephen J","Romano
Ridge
Ridge","Respectful Treatment
Respectful Treatment
Use of Force","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,09/16/2022
IAD2022-0371,Citizen complaint,09/22/2022,"Police Officer
Police Officer
Police Officer
Police Officer","Louis A
Louis A
Louis A
Louis A","Vasquez
Vasquez
Vasquez
Vasquez","Conduct Unbecoming (2 counts)
Alcohol off Duty
Use Of Drugs
Abuse of Process","Not Sustained
Not Sustained
Not Sustained
Not Sustained","Retired
Retired
Retired
Retired","0
0
0
0","05/10/2024
05/10/2024
05/10/2024
05/10/2024",09/01/2022
IAD2022-0378,Internal investigation,09/27/2022,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Hena V
Hena V
Hena V
Hena V
Hena V
Hena V","Lopes
Lopes
Lopes
Lopes
Lopes
Lopes","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Body Worn Camera Deployment - Officer Responsibility
Body Worn Camera Deployment - Officer Responsibility
Body Worn Policy - Activation & Incidents of Use
Body Worn Policy - Activation & Incidents of Use","Exonerated
Exonerated
Sustained
Sustained
Sustained
Sustained","Administrative Hearing
Suspension
Administrative Hearing
Suspension
Administrative Hearing
Suspension","0
2
0
2
0
2","01/17/2024
10/11/2024
01/17/2024
10/11/2024
01/17/2024
10/11/2024",08/17/2022
IAD2022-0379,Internal investigation,09/30/2022,Police Officer,Michael,St.Peter,Permissible Weapons & Ammunition,Sustained,Oral Reprimand,,05/07/2024,03/31/2022
IAD2022-0388,Internal investigation,10/12/2022,"Police Officer
Police Officer","Daniel J.
Sean M","Sheehan
McCarthy","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained","Suspension
Suspension","1
1","10/11/2022
10/11/2022",09/30/2022
IAD2022-0395,Citizen complaint,10/16/2022,"Police Officer
Police Officer","Gerard Majella
Gerard Majella","Giblin
Giblin","Conduct Unbecoming
Conduct Unbecoming","Sustained
Sustained","Suspension held in abeyance
Suspension/Settlement Agreement","2
3","10/01/2024
09/25/2024",10/16/2022
IAD2022-0397,Internal investigation,10/20/2022,Police Officer,Bryan Marcel,Augustine,Reporting for Duty (8 counts),Sustained,Suspension,1,10/20/2022,07/09/2022
IAD2022-0399,Citizen complaint,10/03/2022,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","James C
James C
James C
Matthew James
Matthew James","Hosea
Hosea
Hosea
Beggan
Beggan","Body Worn Policy - Activation & Incidents of Use
BIAS-Free Policing Policy
Respectful Treatment
Body Worn Policy - Activation & Incidents of Use
BIAS-Free Policing Policy","Sustained
Exonerated
Sustained
Sustained
Exonerated","Suspension
Suspension
Suspension
Suspension
Suspension","2
2
2
1
1","01/10/2025
01/10/2025
01/10/2025
01/10/2025
01/10/2025",09/30/2022
IAD2022-0402,Citizen complaint,10/07/2022,"Police Officer
Police Officer","Matthew
Brian K","O'Connor
Griffiths","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,10/06/2022
IAD2022-0404,Citizen complaint,10/13/2022,Captain,Joseph G.,Gillespie,Respectful Treatment,Not Sustained,,,,10/06/2022
IAD2022-0408,Citizen complaint,10/21/2022,Police Officer,Marcus E.,Rodriguez,Neg.Duty/Unreasonable Judge,Unfounded,,,,10/01/2022
IAD2022-0418,Internal investigation,10/30/2022,Police Officer,Roselyn,Lacroix,Conduct Unbecoming,Sustained,Suspension,3,10/10/2024,10/30/2022
IAD2022-0421,Internal investigation,10/27/2022,Detective,Nina,Jefferson,Paid Details,Sustained,Suspension,3,12/15/2022,04/13/2022
IAD2022-0422,Citizen complaint,11/01/2022,Police Officer,Myles,Lawton,Neg.Duty/Unreasonable Judge,Exonerated,,,,09/10/2022
IAD2022-0424,Internal investigation,11/03/2022,Depsup,James R,Tarantino,Respectful Treatment,Sustained,Suspension,1,07/11/2023,11/02/2022
IAD2022-0426,Citizen complaint,11/07/2022,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Thomas M.
Thomas M.
Thomas M.
Thomas M.
Thomas M.
Thomas M.
Thomas M.
Thomas M.","Antonino
Antonino
Antonino
Antonino
Antonino
Antonino
Antonino
Antonino","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Respectful Treatment
Respectful Treatment
Body Worn Policy - Activation & Incidents of Use
Body Worn Policy - Activation & Incidents of Use
Self Identification
Self Identification","Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","3
2
3
2
3
2
3
2","06/17/2024
06/17/2024
06/17/2024
06/17/2024
06/17/2024
06/17/2024
06/17/2024
06/17/2024",09/01/2022
IAD2022-0427,Citizen complaint,11/07/2022,"Detective
Detective
Detective","Walter T
Walter T
Walter T","Mitchell
Mitchell
Mitchell","Respectful Treatment
Self Identification
Use of Force","Not Sustained
Unfounded
Not Sustained",,"0
0
0",,10/27/2022
IAD2022-0428,Internal investigation,11/07/2022,"Police Officer
Police Officer","Christopher M
Christopher M","Long
Long","Conformance to Laws
Conduct Unbecoming","Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending","0
0","12/22/2023
12/22/2023",11/07/2022
IAD2022-0432,Internal investigation,11/08/2022,"Police Officer
Police Officer","Joshua J.
Joshua J.","Delisle
Delisle","Employment Outside the Department
Neg.Duty/Unreasonable Judge","Unfounded
Sustained","Oral Reprimand
Oral Reprimand","0
0","08/16/2023
08/16/2023",07/07/2022
IAD2022-0433,Internal investigation,11/09/2022,"Police Officer
Police Officer
Police Officer","Fabian Martin
Fabian Martin
Fabian Martin","Bustillo
Bustillo
Bustillo","Harassment Policy
Neg.Duty/Unreasonable Judge
Conduct Unbecoming","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,09/03/2022
IAD2022-0434,Internal investigation,11/15/2022,Sergeant Detective,Janine,Busby,Neg.Duty/Unreasonable Judge,Sustained,Written Reprimand,,10/18/2024,11/09/2022
IAD2022-0436,Citizen complaint,11/09/2022,"Sergeant
Sergeant
Sergeant
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Ian P
Ian P
Ian P
Tony Alexander
Tony Alexander
Christopher J
Christopher J
Bradley J.
Bradley J.
Bradley J.","Mahoney
Mahoney
Mahoney
Romero
Romero
McCarthy
McCarthy
Donahue
Donahue
Donahue","Respectful Treatment
Use of Force
BIAS-Free Policing Policy
BIAS-Free Policing Policy
Respectful Treatment
Respectful Treatment
BIAS-Free Policing Policy
BIAS-Free Policing Policy
Respectful Treatment
Use of Force","Exonerated
Exonerated
Unfounded
Unfounded
Exonerated
Exonerated
Unfounded
Unfounded
Exonerated
Exonerated",,"0
0
0
0
0
0
0
0
0
0",,10/26/2022
IAD2022-0438,Citizen complaint,11/19/2022,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Jose Miguel
Jose Miguel
Jose Miguel
Jose Miguel
Jose Miguel
Jose Miguel
Carlos C
Carlos C
Carlos C
Carlos C
Carlos C","Diaz Jr.
Diaz Jr.
Diaz Jr.
Diaz Jr.
Diaz Jr.
Diaz Jr.
Cardoso
Cardoso
Cardoso
Cardoso
Cardoso","Body Worn Camera Policy
Body Worn Camera Policy
Situations Involving Off-Duty Boston Police Officers
Situations Involving Off-Duty Boston Police Officers
Neglect of Duty/Unreasonable Judgment (2 counts)
Neglect of Duty/Unreasonable Judgment (2 counts)
Neg.Duty/Unreasonable Judge
Conduct Unbecoming
Alcohol off Duty
Conformance to Laws
CJIS Access","Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance (12 months)
Suspension/Settlement Agreement
Suspension held in abeyance (12 months)
Suspension/Settlement Agreement
Suspension held in abeyance (12 months)
Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending","5
2
5
2
5
2
0
0
0
0
0","11/12/2024
11/12/2024
11/12/2024
11/12/2024
11/12/2024
11/12/2024
07/14/2023
07/14/2023
07/14/2023
07/14/2023
07/14/2023",11/19/2022
IAD2022-0444,Citizen complaint,11/22/2022,"Police Officer
Police Officer","Lawrence A
James B","Calderone
Kenneally","Attendance/Reporting for Duty
Attendance/Reporting for Duty","Unfounded
Unfounded",,"0
0",,
IAD2022-0449,Citizen complaint,11/25/2022,Police Officer,Renee Nicole Marie,Flynn,Neg.Duty/Unreasonable Judge,Not Sustained,,,,11/22/2022
IAD2022-0450,Internal investigation,11/25/2022,"Police Officer
Police Officer
Police Officer
Police Officer","Michael A
Michael A
Michael A
Paula F","Forde
Forde
Forde
Pearson","Neglect of Duty/Unreasonable Judgment (2 counts)
Body Worn Camera Policy - Activation (4 counts)
Personal Business
Body Worn Policy - Activation & Incidents of Use","Sustained
Sustained
Sustained
Sustained","Retired
Retired
Retired
Oral Reprimand","0
0
0
0","09/30/2023
09/30/2023
09/30/2023
12/23/2024",
IAD2022-0451,Internal investigation,11/22/2022,"Police Officer
Police Officer
Detective","Randy J
Kirk Orlando
Jimmy","del Villar
Maxwell
Giraldo","Harassment Policy - Sexual Harassment/Hostile Work Environment
Harassment Policy - Sexual Harassment/Hostile Work Environment
Harassment Policy - Sexual Harassment/Hostile Work Environment","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,
IAD2022-0461,Citizen complaint,12/08/2022,Police Officer,Brian Ford,Harrington,Respectful Treatment,Not Sustained,,,,12/08/2022
IAD2022-0462,Citizen complaint,12/07/2022,Sergeant,Robert C,Boyle,Respectful Treatment,Unfounded,,,,12/07/2022
IAD2022-0486,Citizen complaint,12/12/2022,Sergeant Detective,Patrick,Browning,Neg.Duty/Unreasonable Judge,Exonerated,,,,12/10/2022
IAD2022-0491,Internal investigation,12/14/2022,"Police Officer
Police Officer","Bryan Marcel
Bryan Marcel","Augustine
Augustine","Attendance/Reporting for Duty
Attendance/Reporting for Duty","Sustained
Sustained","Suspension held in abeyance
Suspension/Settlement Agreement","15
30","09/09/2025
09/09/2025",12/11/2022
IAD2022-0495,Internal investigation,12/18/2022,Police Officer,Rory M,Coleman,Respectful Treatment (2 counts),Sustained,Written Reprimand,,09/11/2025,12/17/2022
IAD2022-0496,Internal investigation,12/19/2022,"Police Officer
Police Officer","Darrell
Darrell","Vinson
Vinson","Conformance to Laws
Conduct Unbecoming","Not Sustained
Not Sustained",,"0
0",,12/17/2022
IAD2022-0499,Internal investigation,12/24/2022,"Police Officer
Police Officer
Police Officer","Geoconda Jenn
Geoconda Jenn
Geoconda Jenn","Castillo-Angeles
Castillo-Angeles
Castillo-Angeles","Criminal Complaints
Conformance to Laws
Conduct Unbecoming","Sustained
Not Sustained
Not Sustained","Suspension
Suspension
Suspension","1
1
1","07/29/2024
07/29/2024
07/29/2024",12/24/2022
IAD2022-0506,Citizen complaint,12/30/2022,Police Officer,Bryan Marcel,Augustine,Neg.Duty/Unreasonable Judge,Not Sustained,,,,12/27/2022
IAD2023-0002,Internal investigation,01/03/2023,"Police Officer
Police Officer","Matthew P
Matthew P","Morrissey
Morrissey","Conformance to Laws
Conduct Unbecoming","Sustained
Sustained","Resigned Charges Pending
Resigned Charges Pending","0
0","06/22/2023
06/22/2023",03/06/2022
IAD2023-0003,Internal investigation,01/04/2023,Police Officer,Matthew P,Morrissey,Respectful Treatment,Not Sustained,,,,10/25/2022
IAD2023-0004,Citizen complaint,01/06/2023,"Police Officer
Police Officer","Jason A
Jason A","Forde
Forde","Body Worn Camera Policy - Procedure
Neg.Duty/Unreasonable Judge","Sustained
Not Sustained","Suspension
Suspension","1
1","01/13/2025
01/13/2025",01/04/2023
IAD2023-0007,Internal investigation,01/12/2023,"Lieutenantenant Detective
Lieutenantenant Detective
Lieutenantenant Detective","Timothy P
Timothy P
Richard J","Gaughan
Gaughan
Driscoll","Directives/Orders
DV Responsibility of DVU Supervisor
Situations Involving Family & Frien","Exonerated
Exonerated
Not Sustained",,"0
0
0",,01/02/2023
IAD2023-0008,Citizen complaint,01/17/2023,Police Officer,Lawrence D,Welch,Conduct Unbecoming,Unfounded,,,,12/05/2022
IAD2023-0009,Citizen complaint,01/19/2023,Lieutenantenant Detective,Beth,Leary,Respectful Treatment,Not Sustained,,,,01/17/2023
IAD2023-0015,Internal investigation,01/31/2023,Sergeant,James P.,Defeo,Respectful Treatment,Sustained,Suspension,1,01/31/2023,01/28/2023
IAD2023-0028,Internal investigation,02/10/2023,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Jake
Jake
Jake
Jake
Jake
Jake","Ryan
Ryan
Ryan
Ryan
Ryan
Ryan","Conformance to Laws
Conformance to Laws
Alcohol off Duty
Alcohol off Duty
Conduct Unbecoming
Conduct Unbecoming","Not Sustained
Not Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","10
5
10
5
10
5","04/10/2024
04/10/2024
04/10/2024
04/10/2024
04/10/2024
04/10/2024",02/10/2023
IAD2023-0037,Citizen complaint,02/23/2023,Police Officer,Matthew Martin,DIPIRO,Respectful Treatment,Unfounded,,,,02/01/2023
IAD2023-0040,Citizen complaint,02/21/2023,"Lieutenant
Police Officer","Gary J
Daniel J.","Ryan
Sparrow","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Sustained",Oral Reprimand,"0
0",02/28/2023,02/20/2023
IAD2023-0041,Citizen complaint,02/27/2023,"Police Officer
Police Officer","Michael
Michael","Mulvey
Mulvey","Conduct Unbecoming
Conformance to Laws","Not Sustianed
Unfounded",,"0
0",,02/26/2023
IAD2023-0048,Internal investigation,02/25/2023,"Police Officer
Police Officer","Stephen P
Stephen P","O'Connell
O'Connell","Neg.Duty/Unreasonable Judge
Alcohol off Duty","Sustained
Not Sustained","Suspension/Settlement Agreement
Suspension/Settlement Agreement","30
30","07/12/2024
07/12/2024",02/25/2023
IAD2023-0051,Internal investigation,03/15/2023,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Roger D.
Roger D.
Roger D.
Roger D.
Roger D.
Roger D.
Roger D.
Roger D.","Layden Jr.
Layden Jr.
Layden Jr.
Layden Jr.
Layden Jr.
Layden Jr.
Layden Jr.
Layden Jr.","Pointing Firearms
Pointing Firearms
Conduct Unbecoming
Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Department Property
Department Property","Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement (12 months)
Suspension held in abeyance (9 months)
Suspension/Settlement Agreement (12 months)
Suspension held in abeyance (9 months)
Suspension/Settlement Agreement (12 months)
Suspension held in abeyance (9 months)
Suspension/Settlement Agreement (12 months)
Suspension held in abeyance (9 months)","360
270
360
270
360
270
360
270","03/17/2024
03/17/2024
03/17/2024
03/17/2024
03/17/2024
03/17/2024
03/17/2024
03/17/2024",03/12/2023
IAD2023-0071,Internal investigation,02/14/2023,"Police Officer
Lieutenantenant
Lieutenantenant","Michael T.
Steven M
Daniel C","Duffley
Ciccolo
Keane","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,03/12/2023
IAD2023-0072,Internal investigation,02/12/2023,"Police Officer
Lieutenantenant
Sergeant","Ryan
Steven M
Patrick J","Wynne
Ciccolo
McDonough","Neglect of Duty/Unreasonable Judgment (2 counts)
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Not Sustained
Not Sustained","Oral Reprimand

","0
0
0","05/20/2025

",03/12/2023
IAD2023-0077,Citizen complaint,03/20/2023,"Lieutenant
Lieutenant","Mark L
Mark L","Assad
Assad","Use of Force
Neg.Duty/Unreasonable Judge","Unfounded
Exonerated",,"0
0",,03/19/2023
IAD2023-0081,Internal investigation,03/27/2023,"Police Officer
Police Officer
Police Officer
Police Officer","Bryan Marcel
Bryan Marcel
Bryan Marcel
Bryan Marcel","Augustine
Augustine
Augustine
Augustine","Canon Six
Canon Six
Uniform & Equipment - When the uniform will be worn & who wears it
Uniform & Equipment - When the uniform will be worn & who wears it","Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","30
15
30
15","09/09/2025
09/09/2025
09/09/2025
09/09/2025",03/22/2023
IAD2023-0082,Internal investigation,03/20/2023,"Detective
Detective","Sean F
Sean F","Deery
Deery","Directives/Orders
Respectful Treatment","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","03/16/2023
03/16/2023",01/21/2023
IAD2023-0090,Internal investigation,03/21/2023,"Police Officer
Police Officer
Police Officer
Police Officer","Samantha
Samantha
Samantha
Samantha","Thompson
Thompson
Thompson
Thompson","Conduct Unbecoming
Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","10
5
10
5","04/10/2024
04/10/2024
04/10/2024
04/10/2024",03/20/2023
IAD2023-0091,Internal investigation,04/11/2023,Police Officer,Selena,Farley,Regulations Governing Officers Absent from Duty Because of Sick/Injured,Sustained,Oral Reprimand,,04/11/2023,03/18/2023
IAD2023-0093,Internal investigation,04/06/2023,"Police Officer
Police Officer","Kamisha L
Kamisha L","Green
Green","Respectful Treatment
Paid Detail Assignment","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","11/13/2024
11/13/2024",03/28/2023
IAD2023-0094,Internal investigation,04/07/2023,Police Officer,Kaitlin E,Berardi,Directives/Orders,Sustained,Oral Reprimand,,07/24/2024,02/19/2023
